ZIPCODE	NEW INDIRECT ONLY MEMBER COUNT
78641	53
78660	51
78613	46
78628	45
78602	42
78681	39
78634	32
78665	32
78664	29
78626	28
78738	28
78746	25
78640	24
78633	23
78642	21
75035	20
78610	19
78653	19
78759	18
76574	17
78737	17
78748	17
78717	16
78749	16
78621	15
78669	15
78704	15
78727	14
78734	14
78754	14
76537	12
78957	12
76542	11
78703	11
78739	11
78745	11
76513	10
76567	10
78612	10
78732	10
75063	9
78731	9
78750	9
78753	9
75002	8
75070	8
76549	8
78617	8
78620	8
78733	8
78735	8
78747	8
78757	8
75078	7
78645	7
78659	7
78741	7
78947	7
76502	6
77836	6
78132	6
78629	6
78666	6
78676	6
78724	6
78728	6
78729	6
78758	6
78945	6
75034	5
75071	5
76520	5
76548	5
76571	5
77008	5
77904	5
78255	5
78260	5
78624	5
78644	5
78654	5
75009	4
75033	4
76530	4
76550	4
77007	4
77429	4
77441	4
77656	4
77833	4
77845	4
78605	4
78611	4
78702	4
78721	4
78723	4
78756	4
78941	4
75013	3
75074	3
75238	3
76522	3
76534	3
76539	3
76577	3
76706	3
76950	3
77632	3
78130	3
78209	3
78253	3
78414	3
78616	3
78619	3
78639	3
78650	3
78652	3
78701	3
78725	3
78726	3
78730	3
78744	3
78752	3
78942	3
78959	3
79705	3
75019	2
75028	2
75068	2
75098	2
75214	2
75225	2
75901	2
75965	2
76248	2
76501	2
76504	2
76527	2
76543	2
76544	2
76556	2
76708	2
76801	2
77025	2
77053	2
77079	2
77354	2
77459	2
77471	2
77478	2
77523	2
77546	2
77619	2
77625	2
77657	2
77662	2
77707	2
77713	2
77803	2
77808	2
77857	2
77901	2
77975	2
77979	2
77984	2
78006	2
78102	2
78108	2
78155	2
78249	2
78254	2
78257	2
78615	2
78636	2
78643	2
78656	2
78662	2
78705	2
78722	2
78751	2
78840	2
78940	2
78948	2
78950	2
78956	2
78962	2
75039	1
75041	1
75056	1
75093	1
75104	1
75119	1
75126	1
75189	1
75208	1
75209	1
75218	1
75219	1
75230	1
75231	1
75248	1
75455	1
75487	1
75605	1
75701	1
75758	1
75861	1
75933	1
75966	1
75979	1
76028	1
76034	1
76065	1
76102	1
76116	1
76126	1
76133	1
76244	1
76262	1
76354	1
76458	1
76511	1
76518	1
76528	1
76531	1
76538	1
76541	1
76554	1
76579	1
76621	1
76642	1
76656	1
76657	1
76687	1
76691	1
76692	1
76701	1
76710	1
76712	1
76823	1
76825	1
76856	1
77006	1
77023	1
77024	1
77043	1
77056	1
77057	1
77063	1
77069	1
77077	1
77080	1
77096	1
77303	1
77328	1
77339	1
77345	1
77351	1
77355	1
77356	1
77375	1
77378	1
77382	1
77389	1
77396	1
77401	1
77406	1
77407	1
77414	1
77422	1
77433	1
77449	1
77450	1
77469	1
77488	1
77493	1
77494	1
77498	1
77521	1
77531	1
77532	1
77535	1
77565	1
77571	1
77573	1
77612	1
77622	1
77627	1
77630	1
77640	1
77641	1
77642	1
77659	1
77660	1
77663	1
77665	1
77670	1
77701	1
77837	1
77840	1
77853	1
77864	1
77878	1
77905	1
77957	1
77962	1
77964	1
77995	1
78013	1
78015	1
78028	1
78043	1
78045	1
78061	1
78070	1
78109	1
78114	1
78119	1
78122	1
78124	1
78133	1
78141	1
78148	1
78152	1
78163	1
78201	1
78212	1
78213	1
78216	1
78222	1
78227	1
78228	1
78237	1
78244	1
78245	1
78247	1
78248	1
78261	1
78266	1
78363	1
78380	1
78410	1
78539	1
78542	1
78582	1
78593	1
78609	1
78631	1
78632	1
78648	1
78663	1
78736	1
78755	1
78838	1
78852	1
78884	1
78934	1
78938	1
78949	1
78953	1
78954	1
79057	1
79068	1
79355	1
79414	1
79416	1
79602	1
79605	1
79606	1
79703	1
79714	1
79756	1
79762	1
79830	1
79836	1
79912	1
79925	1
79928	1
85745	1
92056	1
92887	1
